method,pheno,meta_cluster,cohort,cohort_cluster,cases,controls,neff,version,metaset
fixed,N06A,AFR,AllOfUs,AFR,13291,32478,37725.543315344454,antidep-2501,antidep-2501-fixed-N06A-AFR.vcf.gz
fixed,N06A,AFR,UKB,AFR,730,2004,2140.33650329188,antidep-2501,antidep-2501-fixed-N06A-AFR.vcf.gz
fixed,N06A,AMR,AllOfUs,AMR,8270,27879,25512.11153835514,antidep-2501,antidep-2501-fixed-N06A-AMR.vcf.gz
fixed,N06A,AMR,UKB,AMR,81,220,236.81063122923587,antidep-2501,antidep-2501-fixed-N06A-AMR.vcf.gz
fixed,N06A,EAS,AllOfUs,EAS,672,3554,2260.5660198769524,antidep-2501,antidep-2501-fixed-N06A-EAS.vcf.gz
fixed,N06A,EAS,BBJ,EAS,3288,175438,12910.044291261484,antidep-2501,antidep-2501-fixed-N06A-EAS.vcf.gz
fixed,N06A,EAS,UKB,EAS,131,850,454.026503567788,antidep-2501,antidep-2501-fixed-N06A-EAS.vcf.gz
fixed,N06A,EUR,AllOfUs,EUR,43860,72790,109475.16159451353,antidep-2501,antidep-2501-fixed-N06A-EUR.vcf.gz
fixed,N06A,EUR,FinnGen,EUR,106785,88536,193615.98107730353,antidep-2501,antidep-2501-fixed-N06A-EUR.vcf.gz
fixed,N06A,EUR,GenScot,EUR,7960,11161,18585.12839286648,antidep-2501,antidep-2501-fixed-N06A-EUR.vcf.gz
fixed,N06A,EUR,UKB,EUR,54524,157069,161896.28496216793,antidep-2501,antidep-2501-fixed-N06A-EUR.vcf.gz
fixed,N06A,MID,AllOfUs,MID,185,692,583.8996579247435,antidep-2501,antidep-2501-fixed-N06A-MID.vcf.gz
fixed,N06A,MID,UKB,MID,155,377,439.3609022556391,antidep-2501,antidep-2501-fixed-N06A-MID.vcf.gz
fixed,N06A,SAS,AllOfUs,SAS,512,2049,1638.5599375244046,antidep-2501,antidep-2501-fixed-N06A-SAS.vcf.gz
fixed,N06A,SAS,UKB,SAS,1479,3548,4175.446190570917,antidep-2501,antidep-2501-fixed-N06A-SAS.vcf.gz
