p1_cohort,p1_pheno,p1_cluster,p1_version,p2_cohort,p2_pheno,p2_cluster,p2_version,rg,se,ci,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AB,AFR,v7_2411,NA,NA,NA,NA,NA,-0.0045,0.0336,1.035,0.007,0.737,0.0055
AllOfUs,N06A,AFR,v7_2411,UKB,N06A,AFR,21007_2309,NA,NA,NA,NA,NA,-0.343,0.3021,1.028,0.0061,0.0039,0.0044
AllOfUs,N06A,AFR,v7_2411,UKB,N06AB,AFR,21007_2309,NA,NA,NA,NA,NA,-1.0822,0.4956,0.9949,0.0063,-0.0022,0.0046
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AA,AMR,v7_2411,0.5656,1.1445,"(-1.678, 2.809)",0.4942,0.6212,0.0255,0.0589,1.0473,0.0067,0.4797,0.0048
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AB,AMR,v7_2411,1.2338,0.6202,"(0.018, 2.449)",1.9893,0.0467,0.0763,0.0264,1.0455,0.0068,0.7595,0.0058
AllOfUs,N06A,AMR,v7_2411,UKB,N06A,AMR,21007_2309,NA,NA,NA,NA,NA,-0.5546,1.8533,0.9213,0.0065,-2e-4,0.0045
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06AB,EAS,v7_2411,NA,NA,NA,NA,NA,-0.0874,0.2758,1.0726,0.007,0.7683,0.0061
AllOfUs,N06A,EAS,v7_2411,BBJ,N06A,EAS,SK2020,1.9582,4.5595,"(-6.978, 10.895)",0.4295,0.6676,0.0533,0.0355,1.0104,0.008,-0.0022,0.005
AllOfUs,N06A,EUR,v7_2411,AllOfUs,N06AA,EUR,v7_2411,0.8004,0.1099,"(0.585, 1.016)",7.2841,3.2381e-13,0.0441,0.0104,1.0269,0.0064,0.4217,0.0055
AllOfUs,N06A,EUR,v7_2411,AllOfUs,N06AB,EUR,v7_2411,0.9146,0.036,"(0.844, 0.985)",25.4111,1.9020999999999996e-142,0.0365,0.0058,1.0267,0.0076,0.7626,0.0068
AllOfUs,N06A,EUR,v7_2411,FinnGen,N06A,EUR,R9,0.7469,0.0781,"(0.594, 0.9)",9.5619,1.1566999999999999e-21,0.0926,0.0063,1.1774,0.0144,0.0145,0.0069
AllOfUs,N06A,EUR,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,0.6485,0.215,"(0.227, 1.07)",3.0161,0.0026,0.0593,0.0271,1.0854,0.0083,0.0078,0.0058
AllOfUs,N06A,EUR,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,0.5136,0.2255,"(0.072, 0.956)",2.278,0.0227,0.0667,0.0363,1.0314,0.0076,0.0077,0.0061
AllOfUs,N06A,EUR,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,0.8256,0.4388,"(-0.034, 1.686)",1.8813,0.0599,0.0407,0.0361,1.0717,0.0074,0.0074,0.0054
AllOfUs,N06A,EUR,v7_2411,UKB,N06A,EUR,21007_2309,0.9239,0.1009,"(0.726, 1.122)",9.1534,5.5156e-20,0.0453,0.0038,1.0734,0.0094,0.0142,0.0062
AllOfUs,N06A,EUR,v7_2411,UKB,N06AA,EUR,21007_2309,0.86240000000000006,0.1076,"(0.652, 1.073)",8.0146,1.1048e-15,0.0485,0.0048,1.0652,0.0083,0.0138,0.006
