p1_meta,p1_version,p1_method,p1_pheno,p1_cluster,p2_meta,p2_version,p2_method,p2_pheno,p2_cluster,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
antidep,2501,fixed,N06A,EUR,antidep,2501,fixed,N06AA,EUR,0.8634,0.0233,36.9797,2.4317e-299,0.0431,0.0034,1.0734,0.0083,0.5546,0.0077
antidep,2501,fixed,N06A,EUR,antidep,2501,fixed,N06AB,EUR,0.8925,0.0177,50.5585,0,0.0453,0.0029,1.0512,0.009,0.6272,0.0087
antidep,2501,fixed,N06A,SAS,antidep,2501,fixed,N06AA,SAS,NA,NA,NA,NA,-0.0785,0.1339,1.0179,0.0067,0.7077,0.0055
antidep,2501,fixed,N06A,SAS,antidep,2501,fixed,N06AB,SAS,1.9546,3.0422,0.6425,0.5205,0.1688,0.1258,1.0058,0.006,0.646,0.0053
antidep,2501,fixed,N06AA,EUR,antidep,2501,fixed,N06A,EUR,0.8634,0.0233,36.9797,2.4317e-299,0.0501,0.0026,1.1242,0.0131,0.5546,0.0077
antidep,2501,fixed,N06AA,EUR,antidep,2501,fixed,N06AB,EUR,0.799,0.0377,21.2217,6.0253e-100,0.0451,0.0029,1.0515,0.0092,0.3142,0.0068
antidep,2501,fixed,N06AA,SAS,antidep,2501,fixed,N06A,SAS,NA,NA,NA,NA,0.0268,0.0776,1.0419,0.0064,0.7077,0.0055
antidep,2501,fixed,N06AA,SAS,antidep,2501,fixed,N06AB,SAS,NA,NA,NA,NA,0.1713,0.1259,1.0056,0.006,0.2202,0.0046
antidep,2501,fixed,N06AB,EUR,antidep,2501,fixed,N06A,EUR,0.8925,0.0177,50.5585,0,0.0501,0.0026,1.1243,0.0131,0.6272,0.0087
antidep,2501,fixed,N06AB,EUR,antidep,2501,fixed,N06AA,EUR,0.799,0.0377,21.2217,6.0253e-100,0.0432,0.0035,1.0728,0.0084,0.3142,0.0068
antidep,2501,fixed,N06AB,SAS,antidep,2501,fixed,N06A,SAS,1.9546,3.0422,0.6425,0.5205,0.0261,0.0776,1.042,0.0064,0.646,0.0053
antidep,2501,fixed,N06AB,SAS,antidep,2501,fixed,N06AA,SAS,NA,NA,NA,NA,-0.0819,0.1337,1.0181,0.0067,0.2202,0.0046
