p1_cohort,p1_pheno,p1_cluster,p1_version,p2_cohort,p2_pheno,p2_cluster,p2_version,pgi,SE,CI,Z,P (Z)
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06A,AMR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06A,EAS,v7_2411,2.10497505737779,4.542296144712162,"(-6.798, 11.008)",-0.2432635438497616,0.8078012440083872
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06A,EUR,v7_2411,2.410144385168033,4.373227746144443,"(-6.161, 10.982)",-0.3224493365138037,0.7471123132511728
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06A,SAS,v7_2411,4.282369668176669,30.724405972373248,"(-55.936, 64.501)",-0.1068326486483777,0.9149217458115028
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AA,AMR,v7_2411,0.6867491259871191,2.686166104147691,"(-4.578, 5.952)",0.11661634532920072,0.9071640844058722
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AA,EAS,v7_2411,1.4289848279127049,4.519162052480711,"(-7.428, 10.286)",-0.09492574573138432,0.924373806717357
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AA,EUR,v7_2411,2.560844212695563,4.712542071836513,"(-6.676, 11.797)",-0.3312106690831707,0.7404853618578643
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AA,SAS,v7_2411,5.052466209364787,36.86312229346914,"(-67.198, 77.303)",-0.10993279888509994,0.912462670430342
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AB,AMR,v7_2411,2.27668827335408,3.9563832058443618,"(-5.478, 10.031)",-0.3226907523690219,0.7469294563446918
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AB,EAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AB,EUR,v7_2411,2.538465341004601,4.904746365957526,"(-7.075, 12.152)",-0.31366868461999564,0.7537726872917321
AllOfUs,N06A,AFR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,14.210826284203998,99.48146309673044,"(-180.769, 209.191)",-0.13279686358611856,0.8943540348866935
AllOfUs,N06A,AFR,v7_2411,FinnGen,N06A,EUR,R9,2.5610558604562472,8.104328961335943,"(-13.323, 18.445)",-0.192620001964841,0.8472565789731457
AllOfUs,N06A,AFR,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,2.8362829371249916,6.271666886427705,"(-9.456, 15.129)",-0.2927902534330749,0.7696824785905985
AllOfUs,N06A,AFR,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,1.4285017045596848,3.910841380524276,"(-6.237, 9.094)",-0.10956765127156376,0.9127522666997032
AllOfUs,N06A,AFR,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,3.687377207522572,8.574878476745113,"(-13.119, 20.494)",-0.31340120035644603,0.753975872374481
AllOfUs,N06A,AFR,v7_2411,UKB,N06A,AMR,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AFR,v7_2411,UKB,N06A,EAS,21007_2309,-3.0414148992604852,4.340902558603944,"(-11.549, 5.467)",0.9310079746549816,0.3518494390570237
AllOfUs,N06A,AFR,v7_2411,UKB,N06A,SAS,21007_2309,1.814529257863404,6.8428583702532535,"(-11.597, 15.226)",-0.11903348188591234,0.9052488296401396
AllOfUs,N06A,AFR,v7_2411,UKB,N06AA,SAS,21007_2309,7.629533015733939,29.664947147234763,"(-50.513, 65.772)",-0.22348035824334564,0.8231616684409643
AllOfUs,N06A,AFR,v7_2411,UKB,N06AB,SAS,21007_2309,-0.4721403959544185,3.2004917187787045,"(-6.745, 5.801)",0.4599731932804943,0.6455354619620569
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06A,EAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06A,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06A,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AA,EAS,v7_2411,35.5195497807762,420.90542531313145,"(-789.44, 860.479)",-0.08201260355600187,0.9346366910317288
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AA,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AA,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AB,EAS,v7_2411,6.186306570689975,17.390287569006958,"(-27.898, 40.271)",-0.29823006377036754,0.7655275776337624
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AB,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,FinnGen,N06A,EUR,R9,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,UKB,N06A,EAS,21007_2309,-23.844380384017654,411.8970051366731,"(-831.148, 783.459)",0.06031697262711087,0.9519031843554008
AllOfUs,N06A,AMR,v7_2411,UKB,N06A,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,UKB,N06AA,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,AMR,v7_2411,UKB,N06AB,SAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06A,EUR,v7_2411,0.21644671967693377,1.0450663842285643,"(-1.832, 2.265)",0.7497641223064131,0.45339678052513654
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06A,SAS,v7_2411,3.003031529423161,8.400037792122754,"(-13.461, 19.467)",-0.23845506163097624,0.8115281657600466
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06AA,EUR,v7_2411,0.4790657865139889,1.3989218476842329,"(-2.263, 3.221)",0.37238264192410936,0.7096079758903571
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06AA,SAS,v7_2411,-2.635560482061284,8.552503959281205,"(-19.398, 14.127)",0.4250872609203486,0.6707730641279406
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06AB,EUR,v7_2411,0.0979056714194733,0.9434950953054336,"(-1.751, 1.947)",0.9561197859629524,0.3390117195709783
AllOfUs,N06A,EAS,v7_2411,AllOfUs,N06AB,SAS,v7_2411,3.860682519584333,48.7912836690173,"(-91.768, 99.49)",-0.05863101571563858,0.9532460062000038
AllOfUs,N06A,EAS,v7_2411,FinnGen,N06A,EUR,R9,1.1807008684858815,20.71916943337524,"(-39.428, 41.79)",-0.00872143398734902,0.9930413906894712
AllOfUs,N06A,EAS,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,-2.838001222860666,7.613208782191247,"(-17.76, 12.084)",0.5041239945814288,0.6141742464596538
AllOfUs,N06A,EAS,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,-0.15473868966404497,3.3135805172309363,"(-6.649, 6.34)",0.34848668491961887,0.7274747117909561
AllOfUs,N06A,EAS,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,0.3734702188435859,5.966835409489454,"(-11.321, 12.068)",0.10500202170148724,0.9163742045040216
AllOfUs,N06A,EAS,v7_2411,UKB,N06A,SAS,21007_2309,-2.844643541999489,83.75848848137919,"(-167.008, 161.319)",0.04590153919568657,0.9633887273713004
AllOfUs,N06A,EAS,v7_2411,UKB,N06AA,SAS,21007_2309,-4.74351700757868,124.55765276549953,"(-248.872, 239.385)",0.04611131375758826,0.9632215285268874
AllOfUs,N06A,EAS,v7_2411,UKB,N06AB,SAS,21007_2309,-1.3560115275877116,18.16820472845871,"(-36.965, 34.253)",0.12967772891161067,0.8968214035158333
AllOfUs,N06A,EUR,v7_2411,AllOfUs,N06A,SAS,v7_2411,1.3337320825052288,1.3697515053792055,"(-1.351, 4.018)",-0.24364425313249613,0.8075063518314111
AllOfUs,N06A,EUR,v7_2411,AllOfUs,N06AA,SAS,v7_2411,0.7498377938484574,0.9671677101310936,"(-1.146, 2.645)",0.2586544231482197,0.7959018880922244
AllOfUs,N06A,EUR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06A,EUR,v7_2411,UKB,N06A,SAS,21007_2309,0.6370933429750977,0.39761902723736053,"(-0.142, 1.416)",0.9126994237332196,0.3614006470938763
AllOfUs,N06A,EUR,v7_2411,UKB,N06AA,SAS,21007_2309,1.4001691008343198,1.1419107807522224,"(-0.838, 3.638)",-0.3504381494416861,0.7260099001738525
AllOfUs,N06A,EUR,v7_2411,UKB,N06AB,SAS,21007_2309,0.7348920746316088,0.5389238231580374,"(-0.321, 1.791)",0.49192096169526595,0.6227752191918566
AllOfUs,N06AA,AFR,v7_2411,AllOfUs,N06AA,AMR,v7_2411,-0.16911799522216422,1.9484723285086825,"(-3.988, 3.65)",0.6000177565349267,0.5484944017345866
AllOfUs,N06AA,AFR,v7_2411,AllOfUs,N06AA,EAS,v7_2411,1.5694333699240968,2.9430370070015166,"(-4.199, 7.338)",-0.19348495060354615,0.8465791910472792
AllOfUs,N06AA,AFR,v7_2411,AllOfUs,N06AA,EUR,v7_2411,1.151033118668466,1.1547234454999455,"(-1.112, 3.414)",-0.13079592283074765,0.8959367483984091
AllOfUs,N06AA,AFR,v7_2411,AllOfUs,N06AA,SAS,v7_2411,-1.898691564665956,5.536631687141139,"(-12.75, 8.953)",0.5235478407202315,0.6005930680159539
