Gene	gene_name	Chr	Start	End	No.SNPs	SNP_start	SNP_end	TopSNP	TopSNP_Pvalue	No.Eigenvalues	Chisq_mBAT	P_mBATcombo	P_mBAT	Chisq_fastBAT	P_fastBAT
ENSG00000001617	SEMA3F	3	50192478	50226508	221	rs115583888	rs142550625	rs114955564	1.86911e-4	35	90.6299	1.60257e-6	8.01975e-7	273.144	9.33955e-4
ENSG00000188338	SLC38A3	3	50242679	50258918	194	rs2526390	rs4688739	rs9839427	3.88737e-5	33	101.082	1.57281e-8	7.86498e-9	262.192	6.51686e-5
ENSG00000114353	GNAI2	3	50263724	50296794	189	rs140750015	rs148506936	rs9839427	3.88737e-5	37	103.971	5.6027e-8	2.80323e-8	249.648	4.16916e-5
ENSG00000012171	SEMA3B	3	50304990	50314977	136	rs739431	rs145114447	rs9839427	3.88737e-5	33	92.8043	2.72159e-7	1.36181e-7	191.183	1.81757e-4
ENSG00000179564	LSMEM2	3	50316518	50325545	137	rs58939948	rs79536844	rs9839427	3.88737e-5	34	95.6002	1.83039e-7	9.15501e-8	188.08	2.75424e-4
ENSG00000174891	RSRC1	3	157823644	158263519	1785	rs115996629	rs13318109	rs1614241	4.81422e-8	36	84.3111	2.02942e-7	9.49469e-6	1191.69	1.02567e-7
ENSG00000178053	MLF1	3	158288952	158325041	485	rs9849688	rs7616819	rs1614241	4.81422e-8	20	62.6573	7.19674e-9	2.74139e-6	530.088	3.6031e-9
ENSG00000149292	TTC12	11	113185301	113254266	485	rs625741	rs77560271	rs61903989	1.23594e-6	51	118.705	5.09216e-7	2.54999e-7	479.85	1.66003e-4
ENSG00000072110	ACTN1	14	69340845	69446157	848	rs75260385	rs10144812	rs927064	3.12584e-11	53	106.022	7.51338e-8	2.1132e-5	1383.03	3.76338e-8
ENSG00000139990	DCAF5	14	69517598	69619867	467	rs151063677	rs77684563	rs10135643	2.25451e-9	33	71.1613	2.72879e-9	1.28945e-4	797.49	1.36441e-9
ENSG00000081177	EXD2	14	69658215	69710737	381	rs11846184	rs10873218	rs61980270	2.9379e-9	38	77.1851	6.71171e-7	1.76755e-4	628.514	3.36224e-7
ENSG00000100626	GALNT16	14	69725994	69823750	644	rs7144704	rs10142738	rs11625374	3.07089e-9	57	104.579	1.28124e-7	1.2481e-4	1142.81	6.40949e-8
ENSG00000140945	CDH13	16	82660570	83834245	8083	rs74676455	rs93131	rs12448382	3.0802e-8	424	553.743	2.49304e-6	2.15319e-5	6049.81	1.32312e-6
ENSG00000196628	TCF4	18	52889416	53332018	1123	rs73957050	rs185302135	rs7231748	2.23193e-7	70	116.594	1.47249e-6	4.0083e-4	1319.78	7.37601e-7
