phenotype,ancestry,Gene,gene_name,Chr,Start,End,No.SNPs,SNP_start,SNP_end,TopSNP,TopSNP_Pvalue,No.Eigenvalues,Chisq_mBAT,P_mBATcombo,P_mBAT,Chisq_fastBAT,P_fastBAT,P_mBATcombo_bonferroni
N06A,EUR,ENSG00000140945,CDH13,16,82660570,83834245,7225,rs74676455,rs93131,rs11150494,6.56944e-08,323,448.517,8.0857e-10,4.522e-06,6544.48,4.04321e-10,2.0618535e-07
N06A,EUR,ENSG00000140836,ZFHX3,16,72816784,73925770,3409,rs77518941,rs4888052,rs75805805,6.23912e-07,279,411.901,7.50206e-07,3.75505e-07,2615.87,0.000350522,0.00019130253
N06A,EUR,ENSG00000183715,OPCML,11,132284871,133402396,4065,rs79759469,rs11828595,rs77821142,2.03051e-05,274,377.632,7.27492e-07,3.24256e-05,3024.09,3.67872e-07,0.00018551046
N06A,EUR,ENSG00000144642,RBMS3,3,28616282,30051882,5497,rs3816573,rs11129382,rs2198972,9.2755e-06,228,362.984,6.19661e-08,3.12559e-08,3220.24,3.54999e-06,1.58013555e-05
N06A,EUR,ENSG00000145934,TENM2,5,166406034,167691162,3357,rs12517402,rs34509932,rs2244456,2.40785e-07,249,337.27,4.25408e-07,0.000162195,2792.23,2.12983e-07,0.00010847904
N06A,EUR,ENSG00000283563,ENSG00000283563,3,28390669,29809028,5071,rs34914936,rs143879571,rs2198972,9.2755e-06,206,327.556,2.69133e-07,1.43235e-07,3052.1,2.2235e-06,6.8628915e-05
N06A,EUR,ENSG00000285708,ENSG00000285708,3,71008377,71803380,1975,rs17007999,rs11710834,rs62246015,4.45218e-07,179,263.299,5.34368e-07,4.14998e-05,2051.45,2.68915e-07,0.00013626384
N06A,EUR,ENSG00000183098,GPC6,13,93879060,95060274,3528,rs9589682,rs77377991,rs141818334,4.09178e-06,171,261.129,4.74868e-07,1.08764e-05,2414.07,2.42733e-07,0.00012109134
N06A,EUR,ENSG00000185053,SGCZ,8,13942354,15095940,6902,rs4831265,rs7814095,rs2255802,5.40994e-08,152,225.148,1.53101e-08,0.00010708,5293.27,7.65558e-09,3.9040755e-06
N06A,EUR,ENSG00000196782,MAML3,4,140637907,141075338,1327,rs1000222,rs113262863,rs17314804,1.03224e-11,128,216.21,5.94955e-09,1.7913e-06,1798.34,2.97972e-09,1.51713525e-06
N06A,EUR,ENSG00000148219,ASTN2,9,119185391,120177348,3239,rs12339056,rs10983663,rs35623509,4.80062e-06,135,214.363,1.10056e-08,1.62889e-05,2970.99,5.50468e-09,2.806428e-06
N06A,EUR,ENSG00000187323,DCC,18,49866567,51062273,4868,rs8097353,rs72920298,rs12965339,1.95133e-12,92,204.892,1.18804e-11,1.40737e-10,4972.91,6.20195e-12,3.029502e-09
N06A,EUR,ENSG00000149294,NCAM1,11,112831969,113149158,1171,rs4937833,rs10502172,rs12576197,8.06128e-12,65,203.063,6.59087e-16,4.03743e-16,1542.85,3.79408e-15,1.68067185e-13
N06A,EUR,ENSG00000091831,ESR1,6,151977826,152450754,1893,rs12210307,rs12203474,rs4305732,4.26072e-12,96,192.139,2.55448e-11,2.13968e-08,2040.53,1.27801e-11,6.513924e-09
N06A,EUR,ENSG00000101489,CELF4,18,34823003,35145790,1056,rs138949430,rs6507215,rs28707185,4.60529e-08,93,190.688,4.65242e-10,1.03942e-08,1582.78,2.37946e-10,1.1863671e-07
