DISEASE/TRAIT,SNP
Externalizing behaviour (multivariate analysis),rs12204714
Age at first sexual intercourse,rs12204714
SIOPS occupational score,rs12204714
Irritable bowel syndrome (MTAG),rs1862743
Irritable bowel syndrome or major depressive disor,rs1862743
Smoking status,rs2339515
Neuropsychiatric disorders,rs2339515
Autism spectrum disorder,rs325485
Major depressive disorder or stress-related disord,rs325485
Triglyceride levels,rs325485
Asthma and attention deficit hyperactivity disorde,rs325485
Multisite chronic pain,rs325485
Autism spectrum disorder (MTAG),rs325485
Dizziness and giddiness (Light-headedness and vert,rs59956089
Cognitive performance (MTAG),rs7236339
Highest math class taken (MTAG),rs7236339
Age at first sexual intercourse,rs7236339
Self-reported math ability (MTAG),rs7236339
Educational attainment,rs7236339
Monocyte chemoattractant protein-1 levels,rs73078367
Intelligence,rs73078367
Waist circumference adjusted for body mass index,rs73078367
Myocardial infarction,rs73078367
Intelligence (MTAG),rs73078367
Body mass index,rs73078367
Attention deficit hyperactivity disorder or autism,rs73078367
Intelligence,rs73078367
Annual healthcare cost,rs73078367
Myocardial infarction,rs73078367
Neuroticism,rs9845443
